"country","year","fdi_finance","fdi_mining","fdi_tech","cow_code","iso3c","USA","IdealPointDistance","agree","IdealPointFP.y","ln_fdi_finance","ln_fdi_mining","ln_fdi_tech","has_finance","has_mining","has_tech","gdp_constant","gdp_per_capita","trade_openness","distance_to_us","ln_gdp","ln_gdp_pc","ln_trade","ln_distance","country_fe","year_fe"
"Mexico",2024,11834,11024,1374,70,"MEX",2,2.3394389,0.431818181818182,-0.1332369,9.37881652194808,9.30792070031505,7.22620901010067,1,1,1,1350022500028.81,10316.4611902215,74.5889079825143,2000,27.931142374928,9.24149607230491,4.3119918095933,7.60090245954208,"Mexico","2024"
"Netherlands",1999,1313,2191,1122,210,"NLD",2,1.359327,0.644329896907217,1.230207,7.18083119904456,7.69256964806791,7.02375895473844,1,1,1,621395031368.011,39298.7334353319,114.327740793016,NA,27.155232838006,10.5789475692294,4.73906924295469,NA,"Netherlands","1999"
"Netherlands",2000,627,2218,994,210,"NLD",2,1.365025,0.596385542168675,1.192228,6.4425401664682,7.70481192293259,6.90274273715859,1,1,1,647616371669.345,40665.338169599,125.667030082421,NA,27.1965643389574,10.613131366553,4.83363579067827,NA,"Netherlands","2000"
"Netherlands",2001,6837,3026,970,210,"NLD",2,1.412268,0.561797752808989,1.142402,8.83025057019925,8.01532730902172,6.87832646829133,1,1,1,662664228363.74,41297.3198832208,119.47546387654,NA,27.2195342559565,10.6285528829747,4.783111027081,NA,"Netherlands","2001"
"Netherlands",2002,9367,3227,1076,210,"NLD",2,1.504896,0.496212121212121,1.133138,9.14505490527755,8.07961802938984,6.98193467715639,1,1,1,664292962005.237,41135.4190736263,112.750024358671,NA,27.2219890969585,10.624624807314,4.72517319442419,NA,"Netherlands","2002"
"Netherlands",2003,23612,3348,1094,210,"NLD",2,1.710229,0.484536082474227,1.056062,10.0695526868106,8.1164170727942,6.9985096422506,1,1,1,664942855515.362,40981.8477039972,111.30450319576,NA,27.2229669423541,10.6208845087217,4.71226971744289,NA,"Netherlands","2003"
"Netherlands",2004,30375,3318,1941,210,"NLD",2,1.7736819,0.445652173913043,0.9216281,10.3214081019116,8.10741881171997,7.57147364885127,1,1,1,678350164553.838,41663.1477772692,116.958160026939,NA,27.2429294584573,10.6373722707044,4.76181626423391,NA,"Netherlands","2004"
"Netherlands",2005,32682,2768,1896,210,"NLD",2,1.744628,0.475247524752475,0.99004,10.3946103440263,7.92624152317096,7.54802896993501,1,1,1,692147558366.871,42411.3453838518,122.255849523252,NA,27.263065004467,10.6551711852348,4.80611597607122,NA,"Netherlands","2005"
"Netherlands",2006,31811,2015,3071,210,"NLD",2,1.7624651,0.459090909090909,0.9334399,10.367598856077,7.60887062919126,8.03008409426756,1,1,1,716631413729.704,43841.1223404104,127.195613539333,NA,27.2978274780455,10.6883275221247,4.84572616555774,NA,"Netherlands","2006"
"Netherlands",2007,53559,3534,3462,210,"NLD",2,1.7028868,0.40625,0.9813342,10.8885577998051,8.17046857833067,8.14989054440242,1,1,1,744474740255.869,45445.522872349,129.798241740597,NA,27.3359447600273,10.7242695880945,4.86598125826605,NA,"Netherlands","2007"
"Netherlands",2008,49451,2221,6852,210,"NLD",2,1.5955905,0.46969696969697,0.9991565,10.8087577811268,7.70616297019958,8.83244179158582,1,1,1,760233900200.237,46227.211156219,130.152049980117,NA,27.3568919862987,10.741323889751,4.86870338222023,NA,"Netherlands","2008"
"Netherlands",2009,37377,3761,6318,210,"NLD",2,1.331371,0.625,1.064328,10.5288375750302,8.23270600986098,8.75131624677346,1,1,1,732369119343.411,44304.4119317351,115.109660363107,NA,27.3195504852088,10.6988395432127,4.74588524238059,NA,"Netherlands","2009"
"Netherlands",2010,38686,2221,7681,210,"NLD",2,1.33496,0.614130434782609,1.052569,10.5632589052724,7.70616297019958,8.94663520890585,1,1,1,742031413974.447,44659.272839058,130.081707935343,NA,27.3326574161104,10.7068172431088,4.86816277559755,NA,"Netherlands","2010"
"Netherlands",2011,37507,2140,4626,210,"NLD",2,1.396765,0.693069306930693,1.036232,10.5323095225395,7.66902828858968,8.439663988907,1,1,1,755190192159.834,45239.7318887962,141.757099325776,NA,27.3502354646169,10.7197310037933,4.95411502478072,NA,"Netherlands","2011"
"Netherlands",2012,34342,2535,4830,210,"NLD",2,1.4705189,0.617021276595745,0.9417961,10.444153492313,7.83834331555712,8.48280876455441,1,1,1,747805361887.684,44631.8745388789,149.393223058131,NA,27.3404085696799,10.7062035585087,5.00658191061319,NA,"Netherlands","2012"
"Netherlands",2013,30033,416,4920,210,"NLD",2,1.5432841,0.664893617021277,0.9651299,10.3100853522402,6.0330862217988,8.50126704086598,1,1,1,747579281182.565,44487.03063469,150.651850226949,NA,27.3401061983698,10.7029529792641,5.01497154712684,NA,"Netherlands","2013"
